choicesName,value,label::fr,label::en,label_one::fr,label_one::en,spreadChoicesName,conditional,hidden
householdIncomeChoices,dontKnow,Je ne sais pas,I don’t know,,,,,
householdIncomeChoices,refusal,Je préfère ne pas répondre,I prefer not to answer,,,,,
householdOwnershipChoices,tenant,Locataire,Tenant,,,,,
householdOwnershipChoices,owner,Propriétaire,Owner,,,,,
householdOwnershipChoices,other,Autre,Other,,,,,
householdOwnershipChoices,preferNotToAnswer,Je préfère ne pas répondre,I prefer not to respond,,,,,
departurePlaceOtherChoices,otherParentHome,**Domicile de l'autre parent ou tuteur**,**Home of the other parent or guardian**,,,,ifAge16OrLessConditional,
departurePlaceOtherChoices,workedOvernight,**Travaillait de nuit**,**Worked overnight**,,,,isWorkerConditional,
departurePlaceOtherChoices,secondaryHome,**Résidence secondaire** (chalet ou autre),**Secondary residence** (cottage or other),,,,,
departurePlaceOtherChoices,sleptAtFriends,"Passait la nuit chez **ami, copine/copain ou famille**","Stayed at a **friend’s, partner’s or family’s home**",,,,,
departurePlaceOtherChoices,restaurant,Était à un ou revenait d'un **restaurant ou bar**,Was at or was coming back from a **restaurant or bar**,,,,,
departurePlaceOtherChoices,hotelForWork,Hôtel ou autre lieu pour une **conférence / travail**,Hotel or other venue for **a conference / work**,,,,isWorkerConditional,
departurePlaceOtherChoices,hotelForVacation,Hôtel ou autre lieu en **vacances**,Hotel or other on **vacation**,,,,,
departurePlaceOtherChoices,studying,**Écoles / lieu d’études**: terminait des travaux ou y couchait,**School / place of study**: studied or slept there,,,,isStudentConditional,
departurePlaceOtherChoices,other,Autre,Other,,,,,
onTheRoadArrivalTypeChoices,home,Domicile,Home,,,,,
onTheRoadArrivalTypeChoices,usualWorkPlace,Lieu de travail habituel,Usual work place,,,,onTheRoadUsualWorkplace,
onTheRoadArrivalTypeChoices,other,Autre lieu,Other location,,,,,
onTheRoadArrivalTypeChoices,stayedThereUntilTheNextDay,{{nickname}} a complété ses déplacements sur la route après 4:00 du matin le lendemain,{{nickname}} completed {{gender:his/her/their/their}} work on the road trips after 4AM the next day,J'ai complété mes déplacements sur la route après 4:00 du matin le lendemain,I completed my work on the road trips after 4AM the next day,,isLastPlaceCustomConditional,
onDemandChoices,pickupAtOrigin,"Oui, il est venu chercher {{nickname}} à son lieu de départ","Yes, it picked {{nickname}} up at their departure location","Oui, il est venu me chercher à mon lieu de départ","Yes, it picked me up at my departure location",,,
onDemandChoices,joinedStop,"Oui, {{nickname}} a rejoint un arrêt","Yes, {{nickname}} went to a stop","Oui, j'ai rejoint un arrêt","Yes, I went to a stop",,,
onDemandChoices,no,Non,No,,,,,
noWorkTripReasonChoices,remoteWorkOrWorkAtHome,Télétravail / travail à la maison,Remote work / work from home,,,,,
noWorkTripReasonChoices,onStrike,En grève,On strike,,,,,
noWorkTripReasonChoices,leaveSicknessPersonalReason,"Congé (maladie, personnel, autre)","Leave (sick, personal, other)",,,,,
noWorkTripReasonChoices,noWork,Pas de travail prévu,No work planned,,,,,
noWorkTripReasonChoices,,,,,,otherWithoutSpecify,,
noWorkTripReasonChoices,,,,,,dontKnow,,
noSchoolTripReasonChoices,distanceLearning,Cours à distance,Distance learning,,,,,
noSchoolTripReasonChoices,schoolWasClosed,École fermée,School was closed,,,,,
noSchoolTripReasonChoices,leaveSicknessPersonalReason,"Congé (maladie, personnel, autre)","Leave (sick, personal, other)",,,,,
noSchoolTripReasonChoices,noSchool,Pas de cours,No classes,,,,,
noSchoolTripReasonChoices,,,,,,otherWithoutSpecify,,
noSchoolTripReasonChoices,,,,,,dontKnow,,
educationalAttainment,noneOrPrimaryEducation,"Aucun certificat, diplôme ou degré","No certificate, diploma or degree",,,,,
educationalAttainment,secondaryEducation,Diplôme d'études secondaires ou attestation d'équivalence,High school (secondary) diploma or equivalency certificate,,,,,
educationalAttainment,postSecondaryNonTertiaryEducation,Diplôme d'apprenti ou d'une école de métiers,Apprenticeship or trades certificate or diploma,,,,,
educationalAttainment,shortCycleTertiaryEducation,Diplôme d'un cégep ou collège,"College, CEGEP or other non-university certificate or diploma",,,,,
educationalAttainment,diplomaBelowBachelor,Certificat ou diplôme universitaire inférieur au baccalauréat,University certificate or diploma below bachelor level,,,,,
educationalAttainment,bachelorOrHigher,Certificat ou diplôme universitaire niveau baccalauréat ou supérieur,Bachelor's degree or higher,,,,,
educationalAttainment,,,,,,preferNotToAnswer,,
workPlaceBeforeLeaveTypeChoices,onLocation,"Oui, {{nickname}} travaillait au lieu fixe en présentiel en tout temps","Yes, {{nickname}} worked always on-site at fixed location","Oui, je travaillais au lieu fixe en présentiel en tout temps","Yes, I worked always on-site at fixed location",,,
workPlaceBeforeLeaveTypeChoices,hybrid,"Oui, {{nickname}} travaillait en mode hybride (télétravail et en présentiel)","Yes, {{nickname}} did hybrid work (remote and on-site)","Oui, je travaillais en mode hybride (télétravail et en présentiel)","Yes, I did hybrid work (remote and on-site)",,,
workPlaceBeforeLeaveTypeChoices,onTheRoadWithUsualPlace,"Oui, {{nickname}} travaillait sur la route avec départ d'un lieu fixe (ex: garage, bureau, poste, restaurant, etc.)","Yes, {{nickname}} worked on the road departing from a fixed location (ex: garage, office, station, restaurant, etc.)","Oui, je travaillais sur la route avec départ d'un lieu fixe (ex: garage, bureau, poste, restaurant, etc.)","Yes, I worked on the road departing from a fixed location (ex: garage, office, station, restaurant, etc.)",,,
workPlaceBeforeLeaveTypeChoices,onTheRoadWithoutUsualPlace,"Non, {{nickname}} travaillait sur la route avec départ du domicile","No, {{nickname}} worked on the road departing from home","Non, je travaillais sur la route avec départ du domicile","No, I worked on the road departing from home",,,
workPlaceBeforeLeaveTypeChoices,remote,"Non, {{nickname}} travaillait à partir du domicile ou à distance","No, {{nickname}} worked from home or from elsewhere","Non, je travaillais à partir du domicile ou à distance","No, I worked from home or from elsewhere",,,
vehicleOccupancyExtraChoices,dontKnow,Je ne sais pas,I don’t know,,,,isProxyCustomConditional,
